,0
PFE,-44.8332833609571
AMX,-35.11075177376442
KO,-28.38459088177415
STT,-22.631978289308304
PM,-19.2697743087156
MAA,-17.62417913720349
ETR,-15.904205444684878
ENB,-14.801884072688063
UPS,-13.890457675710978
EIX,-13.579972989325608
MCD,-12.531976832682679
BMY,-11.902264177143293
LPL,-11.729517031187285
ED,-11.373854348200076
MO,-11.365598200552515
AWK,-11.092978852480991
KMB,-10.290175860225345
BBY,-10.104503766032385
ABEV,-9.971824999917624
CPB,-9.695239697474996
MGM,-9.369017018734334
BNS,-8.979838499859797
NKE,-7.966801779151071
JNJ,-7.892472620888754
GGB,-7.290164048006256
HDB,-7.116821836660695
NOAH,-6.924957815448705
BHP,-6.737933936740239
TX,-5.908592800726517
PG,-5.846581469445262
HPQ,-5.805900227433883
MKC,-5.788827789189554
ELV,-5.766169323101643
CP,-5.630517951273997
CVX,-5.524208341986804
LMT,-5.493592371184082
UI,-5.449893120717986
VALE,-5.4376039636579705
D,-5.263008830512848
EL,-5.172890435906867
BEN,-5.071522363976448
T,-4.9440987334972295
NEM,-4.8918015509727475
DUK,-4.890119024890781
CCI,-4.830609545883453
DAN,-4.7584791926334535
TV,-4.472124655493459
DXC,-4.351803090611223
NEE,-4.284223455593412
SONY,-4.129792101060833
TMO,-4.007197719585589
BA,-3.9035041947641584
MS,-3.6860556482065276
V,-3.473859673373835
BYD,-3.384183512439232
VLRS,-3.270387519403964
WHR,-3.2501201562428332
DE,-3.1363866024148215
PLNT,-3.0745944738003255
UNH,-3.0454866104567864
PLD,-3.000981477528351
OMC,-2.973405771574374
SSL,-2.9489297270424726
BABA,-2.8589834901985984
SQM,-2.7778193842856584
INFY,-2.772581251562038
AMT,-2.761077706318506
SKM,-2.7261786371293555
BDX,-2.7201564011986856
GOLD,-2.6950930220205023
ACN,-2.222010741881837
MSCI,-2.152651640343771
PAC,-2.0417868194225894
AU,-2.018063121447976
HRL,-2.0153094017682336
TDOC,-2.0118646908676023
TSN,-1.9829330324024632
FVRR,-1.9828156103193955
DG,-1.8911113598631328
LHX,-1.864298737251833
AVAL,-1.8588341661449708
RTX,-1.846859031251991
ALK,-1.7335249416034992
SOL,-1.6710587650143776
DHR,-1.5825066051084302
MDT,-1.5424733224701803
CHGG,-1.5160679373601622
LUV,-1.497073363294363
DD,-1.4969824361956363
NVS,-1.4944824969211792
CHWY,-1.4693290251869098
ZTS,-1.389539970813858
BB,-1.3701425817890134
CHD,-1.3483248605280551
MA,-1.294438996764972
MMM,-1.2568661151246754
CIG,-1.204366887672953
XOM,-1.1663512466400838
ABT,-1.0193649414765054
BLK,-0.9331618246567871
SE,-0.9116531926577239
LUMN,-0.8977746311405373
MRO,-0.8443436370925476
SMAR,-0.7846722419124169
BAX,-0.7812815115301058
FDX,-0.7676931968639501
NIO,-0.7449745417034509
